id,question,pred,answer,answer_type,image
1,"Does the image show any signs of ""purple""?",yes,no,CLOSED,
2,Provide details about the skin's appearance in the image.,"nodule,crust,exophytic/fungating,dome-shaped,erythema","papule,crust,pedunculated,erythema",OPEN,
3,"Does the image show any signs of ""induration""?",no,yes,CLOSED,
11,Enumerate the dermatological conditions visible in the photo.,squamous cell carcinoma,granuloma pyogenic,OPEN,
15,Provide details about the skin's appearance in the image.,"papule,erythema","papule,dome-shaped,erythema,umbilicated",OPEN,
20,Comment on the skin features present in the image.,"papule,white(hypopigmentation)","papule,scale,brown(hyperpigmentation)",OPEN,
21,List any notable skin traits visible in the picture.,"plaque,atrophy,sclerosis,brown(hyperpigmentation)","plaque,erythema",OPEN,
37,"Did the image exhibit ""purple""?",no,yes,CLOSED,
41,List any visible skin conditions in the captured photo.,erythema multiforme,granuloma annulare,OPEN,
45,What specific features can you observe on the skin in the picture?,"papule,ulcer,exudate,brown(hyperpigmentation),erythema","plaque,crust,black",OPEN,
49,Enumerate the visible features on the skin in this photo.,"papule,scale,brown(hyperpigmentation)","papule,plaque,scale,erythema",OPEN,
52,"Is ""brown(hyperpigmentation)"" visible in the image?",yes,no,CLOSED,
53,Describe any noteworthy skin characteristics in the image.,"papule,brown(hyperpigmentation)","papule,salmon",OPEN,
58,"Based on the visual assessment, is ""yellow"" present in the image?",yes,no,CLOSED,
61,Describe any noteworthy skin characteristics in the image.,"plaque,crust,erythema","papule,telangiectasia,dome-shaped,pigmented",OPEN,
62,"Did the image exhibit ""purple""?",no,yes,CLOSED,
63,"Based on the visual assessment, is ""induration"" present in the image?",no,yes,CLOSED,
66,Can you identify the characteristics of the skin in this image?,"plaque,crust,scale,white(hairy)","papule,scale,brown(hyperpigmentation)",OPEN,
67,Point out and describe the skin disease featured in the image.,drug eruption,perioral dermatitis,OPEN,
69,Describe the dermatological condition visible in the image.,disseminated actinic porokeratosis,pityriasis lichenoides chronica,OPEN,
72,Identify and describe the skin features captured in this photo.,"plaque,scale,brown(hyperpigmentation)","bulla,erythema",OPEN,
74,Can you recognize the skin disorder in this photo?,prurigo nodularis,disseminated actinic porokeratosis,OPEN,
78,"Did the image exhibit ""bulla""?",no,yes,CLOSED,
84,Identify and describe any skin ailments in the image.,lupus erythematosus,sarcoidosis,OPEN,
86,"Based on the visual assessment, is ""purple"" present in the image?",yes,no,CLOSED,
89,"Based on the visual assessment, is ""translucent"" present in the image?",yes,no,CLOSED,
91,Identify and describe the skin features captured in this photo.,"nodule,erythema","papule,dome-shaped,brown(hyperpigmentation)",OPEN,
93,Identify the skin disease shown in the picture.,lupus erythematosus,eczema,OPEN,
94,List the skin disease(s) present in the captured photo.,basal cell carcinoma,actinic keratosis,OPEN,
97,Point out and describe the skin disease featured in the image.,lyme disease,malignant melanoma,OPEN,
98,Enumerate the skin diseases visible in this photo.,dermatofibroma,pilar cyst,OPEN,
105,"Did the image exhibit ""crust""?",yes,no,CLOSED,
106,Describe any noteworthy skin characteristics in the image.,"plaque,brown(hyperpigmentation)","plaque,atrophy,scar,white(hypopigmentation),erythema",OPEN,
107,Can you identify the characteristics of the skin in this image?,"papule,erythema","papule,pustule,dome-shaped,erythema",OPEN,
108,Provide a description of the skin disorders visible in the picture.,lyme disease,photodermatoses,OPEN,
110,"Does the image show any signs of ""nodule""?",no,yes,CLOSED,
116,Can you recognize the skin disorder in this photo?,prurigo nodularis,lichen planus,OPEN,
117,"Does the image show any signs of ""crust""?",no,yes,CLOSED,
121,Enumerate the skin diseases visible in this photo.,dermatomyositis,allergic contact dermatitis,OPEN,
122,Enumerate the skin diseases visible in this photo.,squamous cell carcinoma,xanthomas,OPEN,
123,What specific features can you observe on the skin in the picture?,"bulla,erythema","bulla,erosion",OPEN,
131,What specific features can you observe on the skin in the picture?,"plaque,erythema","plaque,atrophy,scar,white(hypopigmentation),purple",OPEN,
133,"According to the image, is there any indication of ""brown(hyperpigmentation)""?",no,yes,CLOSED,
135,"Does the image show any signs of ""wheal""?",no,yes,CLOSED,
137,Provide a description of the skin features visible in the picture.,"plaque,erosion,purple","plaque,exudate,fissure,friable,erythema",OPEN,
140,Identify and describe any skin ailments in the image.,lupus erythematosus,xeroderma pigmentosum,OPEN,
144,"Based on the visual assessment, is ""vesicle"" present in the image?",no,yes,CLOSED,
146,Can you recognize the skin disorder in this photo?,pilar cyst,nevus sebaceous of jadassohn,OPEN,
148,Can you recognize the skin disorder in this photo?,psoriasis,eczema,OPEN,
149,"Is ""comedo"" visible in the image?",yes,no,CLOSED,
150,Enumerate the distinctive skin traits visible in the photo.,"patch,erythema","plaque,erythema",OPEN,
151,Describe any noteworthy skin characteristics in the image.,"papule,pustule,erythema","nodule,dome-shaped,erythema",OPEN,
152,Describe the dermatological condition visible in the image.,acne,actinic keratosis,OPEN,
154,"Based on the visual assessment, is ""telangiectasia"" present in the image?",yes,no,CLOSED,
156,"Does the image show any signs of ""yellow""?",yes,no,CLOSED,
162,What features are present on the skin in the image?,"plaque,pedunculated,erythema","plaque,brown(hyperpigmentation),erythema",OPEN,
166,Can you recognize the skin disorder in this photo?,lichen amyloidosis,lichen planus,OPEN,
175,What type of skin ailment can be observed in the picture?,granuloma annulare,lichen planus,OPEN,
177,"Does the image show any signs of ""lichenification""?",yes,no,CLOSED,
186,Point out and describe the skin disease featured in the image.,squamous cell carcinoma,actinic keratosis,OPEN,
191,Identify and describe any skin ailments in the image.,congenital nevus,naevus comedonicus,OPEN,
192,Enumerate the dermatological conditions visible in the photo.,scabies,lichen planus,OPEN,
200,List the skin disease(s) present in the captured photo.,tuberous sclerosis,acne vulgaris,OPEN,
211,Describe the dermatological condition visible in the image.,pustular psoriasis,prurigo nodularis,OPEN,
218,Identify the skin disease shown in the picture.,erythema annulare centrifigum,necrobiosis lipoidica,OPEN,
225,Comment on the skin features present in the image.,"papule,brown(hyperpigmentation)","plaque,atrophy,brown(hyperpigmentation),white(hypopigmentation)",OPEN,
227,List the skin disease(s) present in the captured photo.,prurigo nodularis,lymphangioma,OPEN,
230,"Did the image exhibit ""scar""?",no,yes,CLOSED,
234,"Is ""vesicle"" visible in the image?",yes,no,CLOSED,
236,"Based on the visual assessment, is ""excoriation"" present in the image?",no,yes,CLOSED,
238,Comment on the dermatological conditions present in the image.,halo nevus,malignant melanoma,OPEN,
240,"Does the image show any signs of ""yellow""?",yes,no,CLOSED,
242,List any visible skin conditions in the captured photo.,stevens johnson syndrome,port wine stain,OPEN,
250,Describe the dermatological condition visible in the image.,lichen amyloidosis,papilomatosis confluentes and reticulate,OPEN,
251,What specific features can you observe on the skin in the picture?,"papule,brown(hyperpigmentation)","papule,plaque,black",OPEN,
255,Identify and describe any skin ailments in the image.,rosacea,perioral dermatitis,OPEN,
256,Enumerate the dermatological conditions visible in the photo.,lupus erythematosus,lupus subacute,OPEN,
257,"Does the image show any signs of ""sclerosis""?",no,yes,CLOSED,
258,Enumerate the visible features on the skin in this photo.,"plaque,scale,erythema","plaque,purple",OPEN,
259,Point out and describe the skin disease featured in the image.,lichen planus,lentigo maligna,OPEN,
264,List any visible skin conditions in the captured photo.,scleroderma,sarcoidosis,OPEN,
266,List any notable skin traits visible in the picture.,"papule,dome-shaped,yellow","pustule,erythema,acuminate",OPEN,
271,Provide a description of the skin disorders visible in the picture.,sarcoidosis,urticaria pigmentosa,OPEN,
277,Comment on the skin features present in the image.,"papule,scale,erythema","papule,scale,brown(hyperpigmentation),purple",OPEN,
301,Identify and describe the skin features captured in this photo.,"nodule,crust,erosion,erythema","plaque,ulcer,crust,erythema",OPEN,
304,Enumerate the visible features on the skin in this photo.,"plaque,erythema","papule,erythema",OPEN,
305,Enumerate the distinctive skin traits visible in the photo.,"plaque,sclerosis,erythema","plaque,salmon",OPEN,
307,Comment on the skin features present in the image.,"papule,erythema","plaque,scale,erythema",OPEN,
308,Comment on the skin features present in the image.,"papule,patch,brown(hyperpigmentation)","patch,white(hypopigmentation)",OPEN,
326,Provide details about the skin disease captured in the picture.,dermatomyositis,actinic keratosis,OPEN,
329,What skin disorder(s) can you identify in this image?,erythema annulare centrifigum,fixed eruptions,OPEN,
333,Provide a description of the skin features visible in the picture.,"plaque,erythema","plaque,induration,purple",OPEN,
336,"Based on the visual assessment, is ""black"" present in the image?",yes,no,CLOSED,
352,What type of skin ailment can be observed in the picture?,seborrheic dermatitis,sarcoidosis,OPEN,
361,"Did the image exhibit ""papule""?",yes,no,CLOSED,
362,Can you identify the characteristics of the skin in this image?,"nodule,crust,telangiectasia,erythema","plaque,ulcer,crust,brown(hyperpigmentation),translucent,erythema,umbilicated",OPEN,
363,"According to the image, is there any indication of ""exudate""?",no,yes,CLOSED,
369,Enumerate the dermatological conditions visible in the photo.,melanoma,squamous cell carcinoma,OPEN,
376,"Did the image exhibit ""umbilicated""?",yes,no,CLOSED,
381,What can you tell about the skin features from the picture?,"plaque,scale,erythema","plaque,crust,fissure,white(hypopigmentation)",OPEN,
