id,question,pred,answer,answer_type,image
1_00143_sub0_021,"Given the pathology slide image, generate a detailed report assessing the state of nuclear pleomorphism, cell crowding, cell polarity, mitosis, and the prominence of nucleoli.",mild pleomorphism and cytologic atypia is present. there is a normal degree of crowding. polarity is completely lost. mitosis is rare. nucleoli are prominent and irregular. high grade.,minimal variability in nuclear size shape and outline consistent with moderate pleomorphism. mild nuclear crowding is seen. there is marked disorganization and lack of cellular polarity toward the surface urothelium. mitosis is infrequent. the nucleoli of nuclei are prominent. high grade.,OPEN,
1_00143_sub0_023,"Given the pathology slide image, generate a detailed report assessing the state of nuclear pleomorphism, cell crowding, cell polarity, mitosis, and the prominence of nucleoli.","slight variability in nuclear size shape and outline, consistent with mild pleomorphism. there is a mild degree of crowding. polarity is partially lost. mitosis is rare throughout the tissue. the nucleoli are mostly inconspicuous. low grade.",insufficient information.,OPEN,
1_00143_sub0_024,"Given the pathology slide image, generate a detailed report assessing the state of nuclear pleomorphism, cell crowding, cell polarity, mitosis, and the prominence of nucleoli.",moderate pleomorphism is present. the nuclei are crowded to a mild degree. polarity is partially lost. mitosis appears to be rare. the nuclei have inconspicuous nucleoli. low grade.,insufficient information.,OPEN,
1_00143_sub0_025,"Given the pathology slide image, generate a detailed report assessing the state of nuclear pleomorphism, cell crowding, cell polarity, mitosis, and the prominence of nucleoli.",mild pleomorphism and cytologic atypia is present. the nuclei are crowded to a mild degree. polarity is partially lost. mitosis is infrequent throughout the tissue. the nucleoli of nuclei are prominent. high grade.,nuclear features show moderate pleomorphism. moderate nuclear crowding is seen. polarity is not completely lost toward the surface urothelium. mitosis appears to be rare. nucleoli is absent to inconspicuous. high grade.,OPEN,
1_00143_sub0_027,"Given the pathology slide image, generate a detailed report assessing the state of nuclear pleomorphism, cell crowding, cell polarity, mitosis, and the prominence of nucleoli.",mild pleomorphism is present. the nuclei are normally crowded. polarity is completely lost. mitosis is rare. nucleoli is prominent. high grade.,insufficient information.,OPEN,
1_00143_sub0_029,"Given the pathology slide image, generate a detailed report assessing the state of nuclear pleomorphism, cell crowding, cell polarity, mitosis, and the prominence of nucleoli.",moderate pleomorphism and cytologic atypia is present. nuclei are mildly crowded together. polarity is not completely lost toward the surface urothelium. mitosis is rare. the nucleoli of nuclei are prominent. high grade.,insufficient information.,OPEN,
116953_006,"Given the pathology slide image, generate a detailed report assessing the state of nuclear pleomorphism, cell crowding, cell polarity, mitosis, and the prominence of nucleoli.","slight variability in nuclear size shape and outline, consistent with mild pleomorphism. mild nuclear crowding is seen. polarity is partially lost. mitosis is rare. the nucleoli are mostly inconspicuous. high grade.",mild pleomorphism is present. there is a mild degree of crowding. architecturally the cells show complete lack of polarity toward the surface urothelium. mitosis are exceedingly rare and limited only to the basal layer of urothelium. nucleoli is prominent. high grade.,OPEN,
116953_007,"Given the pathology slide image, generate a detailed report assessing the state of nuclear pleomorphism, cell crowding, cell polarity, mitosis, and the prominence of nucleoli.",insufficient information.,mild pleomorphism is present. mild nuclear crowding is seen. polarity is completely lost. mitosis is infrequent. nucleoli are prominent and irregular. high grade.,OPEN,
116953_009,"Given the pathology slide image, generate a detailed report assessing the state of nuclear pleomorphism, cell crowding, cell polarity, mitosis, and the prominence of nucleoli.",minimal variability in nuclear size shape and outline consistent with moderate pleomorphism. moderate nuclear crowding is seen. there is marked disorganization and lack of cellular polarity toward the surface urothelium. mitosis is infrequent throughout the tissue. nucleoli is prominent. high grade.,nuclear features show mild pleomorphism. there is a mild degree of crowding. polarity is completely lost. mitosis appears to be rare. visible and prominent nucleoli are not observed or exceedingly rare. high grade.,OPEN,
118287_005,"Given the pathology slide image, generate a detailed report assessing the state of nuclear pleomorphism, cell crowding, cell polarity, mitosis, and the prominence of nucleoli.",nuclear features show mild pleomorphism. mild crowding of the nuclei can be seen. architecturally no overt lack of polarity is observed. mitosis is rare throughout the tissue. the nucleoli are mostly inconspicuous. low grade.,mild pleomorphism and cytologic atypia is present. nuclei are mildly crowded together. polarity along the basement membrane is negligibly lost. mitosis are exceedingly rare and limited only to the basal layer of urothelium. visible and prominent nucleoli are not observed or exceedingly rare. low grade.,OPEN,
