id,question,pred,answer,answer_type,image
0,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
1,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
2,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
3,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
4,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
5,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
6,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
7,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
9,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
10,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
11,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
12,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
13,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
14,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
15,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
17,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
18,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
19,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
20,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
21,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
22,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
23,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
24,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
25,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
26,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
27,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
28,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
29,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
30,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
31,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
33,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
34,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
35,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
36,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
37,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
38,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
39,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
40,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
41,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
42,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
43,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
44,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
45,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
46,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
47,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
48,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
49,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
50,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
51,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
52,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
53,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
54,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
55,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
56,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
57,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
58,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
59,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
60,"Given a chest X-ray image, determine whether the patient has a normal chest or pneumonia.
Only output 'normal' or 'pneumonia'.",pneumonia,pneumonia,CLOSED,
