id,question,pred,answer,answer_type,image
3,"Does the image show any signs of ""induration""?",yes,yes,CLOSED,
4,"Is ""macule"" visible in the image?",no,no,CLOSED,
5,Enumerate the dermatological conditions visible in the photo.,basal cell carcinoma,basal cell carcinoma,OPEN,
6,"Does the image show any signs of ""erythema""?",yes,yes,CLOSED,
7,"Does the image show any signs of ""do not consider this image""?",no,no,CLOSED,
8,"According to the image, is there any indication of ""pedunculated""?",no,no,CLOSED,
9,List the skin disease(s) present in the captured photo.,lentigo maligna,lentigo maligna,OPEN,
10,"Is ""erythema"" visible in the image?",yes,yes,CLOSED,
11,Enumerate the dermatological conditions visible in the photo.,granuloma pyogenic,granuloma pyogenic,OPEN,
12,Provide details about the skin disease captured in the picture.,porokeratosis actinic,porokeratosis actinic,OPEN,
13,"According to the image, is there any indication of ""scale""?",yes,yes,CLOSED,
14,"Does the image show any signs of ""pustule""?",yes,yes,CLOSED,
16,"According to the image, is there any indication of ""erosion""?",yes,yes,CLOSED,
17,"Is ""scale"" visible in the image?",yes,yes,CLOSED,
18,"Is ""scale"" visible in the image?",yes,yes,CLOSED,
19,List any notable skin traits visible in the picture.,"plaque,ulcer,exudate,friable,erythema","plaque,nodule,ulcer,exudate,friable,warty/papillomatous,yellow,erythema",OPEN,
20,Comment on the skin features present in the image.,"papule,scale,brown(hyperpigmentation)","papule,scale,brown(hyperpigmentation)",OPEN,
22,"Based on the visual assessment, is ""crust"" present in the image?",yes,yes,CLOSED,
24,"According to the image, is there any indication of ""ulcer""?",no,no,CLOSED,
25,"Based on the visual assessment, is ""telangiectasia"" present in the image?",no,no,CLOSED,
26,"Is ""erythema"" visible in the image?",yes,yes,CLOSED,
27,"Did the image exhibit ""excoriation""?",yes,yes,CLOSED,
28,"According to the image, is there any indication of ""brown(hyperpigmentation)""?",yes,yes,CLOSED,
29,"Does the image show any signs of ""xerosis""?",no,no,CLOSED,
30,Identify the skin disease shown in the picture.,lichen amyloidosis,lichen amyloidosis,OPEN,
31,"Did the image exhibit ""gray""?",no,no,CLOSED,
33,"According to the image, is there any indication of ""erythema""?",yes,yes,CLOSED,
34,"Based on the visual assessment, is ""scale"" present in the image?",yes,yes,CLOSED,
35,"Is ""lichenification"" visible in the image?",no,no,CLOSED,
36,"Does the image show any signs of ""scale""?",yes,yes,CLOSED,
38,"Does the image show any signs of ""erythema""?",yes,yes,CLOSED,
39,"According to the image, is there any indication of ""excoriation""?",no,no,CLOSED,
42,"Does the image show any signs of ""plaque""?",yes,yes,CLOSED,
43,Comment on the skin features present in the image.,"plaque,erythema","plaque,erythema",OPEN,
44,"Did the image exhibit ""erythema""?",yes,yes,CLOSED,
45,What specific features can you observe on the skin in the picture?,"plaque,ulcer,crust,exudate,friable,brown(hyperpigmentation),erythema","plaque,crust,black",OPEN,
46,Provide a description of the skin disorders visible in the picture.,acne vulgaris,acne vulgaris,OPEN,
47,"Does the image show any signs of ""purple""?",yes,yes,CLOSED,
48,Provide details about the skin's appearance in the image.,"plaque,brown(hyperpigmentation),black","plaque,black,erythema",OPEN,
49,Enumerate the visible features on the skin in this photo.,"papule,scale,erythema","papule,plaque,scale,erythema",OPEN,
50,"Is ""pedunculated"" visible in the image?",no,no,CLOSED,
51,"Is ""erythema"" visible in the image?",yes,yes,CLOSED,
