id,question,pred,answer,answer_type,image
1,"Does the image show any signs of ""purple""?",yes,no,CLOSED,
2,Provide details about the skin's appearance in the image.,"nodule,crust,exophytic/fungating,brown(hyperpigmentation)","papule,crust,pedunculated,erythema",OPEN,
15,Provide details about the skin's appearance in the image.,"papule,plaque,erythema","papule,dome-shaped,erythema,umbilicated",OPEN,
21,List any notable skin traits visible in the picture.,"patch,brown(hyperpigmentation)","plaque,erythema",OPEN,
23,List the skin disease(s) present in the captured photo.,seborrheic keratosis,epidermal nevus,OPEN,
32,"Is ""fissure"" visible in the image?",yes,no,CLOSED,
37,"Did the image exhibit ""purple""?",no,yes,CLOSED,
40,"Is ""induration"" visible in the image?",yes,no,CLOSED,
41,List any visible skin conditions in the captured photo.,porphyria,granuloma annulare,OPEN,
52,"Is ""brown(hyperpigmentation)"" visible in the image?",yes,no,CLOSED,
53,Describe any noteworthy skin characteristics in the image.,"papule,scale,brown(hyperpigmentation)","papule,salmon",OPEN,
55,Provide a description of the skin features visible in the picture.,"plaque,brown(hyperpigmentation)","papule,pedunculated,brown(hyperpigmentation)",OPEN,
58,"Based on the visual assessment, is ""yellow"" present in the image?",yes,no,CLOSED,
61,Describe any noteworthy skin characteristics in the image.,"papule,telangiectasia,translucent","papule,telangiectasia,dome-shaped,pigmented",OPEN,
62,"Did the image exhibit ""purple""?",no,yes,CLOSED,
63,"Based on the visual assessment, is ""induration"" present in the image?",no,yes,CLOSED,
67,Point out and describe the skin disease featured in the image.,rosaceaa,perioral dermatitis,OPEN,
69,Describe the dermatological condition visible in the image.,allergic contact dermatitis,pityriasis lichenoides chronica,OPEN,
72,Identify and describe the skin features captured in this photo.,"nodule,exophytic/fungating,brown(hyperpigmentation)","bulla,erythema",OPEN,
84,Identify and describe any skin ailments in the image.,lupus erythematosus,sarcoidosis,OPEN,
90,Enumerate the dermatological conditions visible in the photo.,dyshidrotic eczema,pityriasis rubra pilaris,OPEN,
91,Identify and describe the skin features captured in this photo.,"nodule,dome-shaped,erythema","papule,dome-shaped,brown(hyperpigmentation)",OPEN,
